County,Hutchinson,%,Krueger,%,Barton,%,Fields,%,Fisher,%,Gutierrez,%,Brown,%,Davis,%,Draheim,%,Floyd,%,Hancock,%,Henson,%,Hopkins,%,Howell,%,Kelly,%,Payne,%,Richardson,%,Sibley,%,Spink,%,Spiro,%,Stewart,%,Vallaster,%,Wright,%,Zaeske,%,Total,Winner
Falls,383,16.75%,844,36.90%,377,16.48%,273,11.94%,207,9.05%,15,0.66%,2,0.09%,2,0.09%,2,0.09%,0,0.00%,0,0.00%,6,0.26%,5,0.22%,6,0.26%,21,0.92%,116,5.07%,6,0.26%,15,0.66%,4,0.17%,0,0.00%,0,0.00%,0,0.00%,2,0.09%,1,0.04%,2287,2
Fannin,1028,30.37%,1322,39.05%,471,13.91%,122,3.60%,303,8.95%,21,0.62%,7,0.21%,3,0.09%,2,0.06%,2,0.06%,3,0.09%,12,0.35%,16,0.47%,1,0.03%,31,0.92%,5,0.15%,21,0.62%,3,0.09%,0,0.00%,1,0.03%,1,0.03%,2,0.06%,2,0.06%,6,0.18%,3385,2
Fayette,1097,28.92%,1279,33.72%,196,5.17%,821,21.65%,304,8.01%,25,0.66%,1,0.03%,0,0.00%,1,0.03%,3,0.08%,6,0.16%,3,0.08%,16,0.42%,6,0.16%,11,0.29%,0,0.00%,2,0.05%,0,0.00%,0,0.00%,1,0.03%,3,0.08%,0,0.00%,9,0.24%,9,0.24%,3793,2
Fisher,191,19.00%,462,45.97%,17,1.69%,119,11.84%,190,18.91%,7,0.70%,0,0.00%,0,0.00%,0,0.00%,1,0.10%,0,0.00%,1,0.10%,1,0.10%,1,0.10%,9,0.90%,2,0.20%,0,0.00%,1,0.10%,0,0.00%,1,0.10%,1,0.10%,0,0.00%,1,0.10%,0,0.00%,1005,2
Floyd,426,33.60%,304,23.97%,203,16.01%,209,16.48%,58,4.57%,24,1.89%,0,0.00%,1,0.08%,0,0.00%,1,0.08%,0,0.00%,4,0.32%,20,1.58%,0,0.00%,6,0.47%,2,0.16%,4,0.32%,0,0.00%,2,0.16%,1,0.08%,1,0.08%,0,0.00%,1,0.08%,1,0.08%,1268,1
Foard,38,17.04%,131,58.74%,16,7.17%,3,1.35%,22,9.87%,2,0.90%,1,0.45%,0,0.00%,0,0.00%,1,0.45%,0,0.00%,0,0.00%,0,0.00%,2,0.90%,4,1.79%,0,0.00%,1,0.45%,2,0.90%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,223,2
Fort Bend,8100,27.36%,6406,21.63%,3130,10.57%,8115,27.41%,2194,7.41%,633,2.14%,43,0.15%,14,0.05%,63,0.21%,23,0.08%,23,0.08%,17,0.06%,139,0.47%,47,0.16%,176,0.59%,137,0.46%,71,0.24%,9,0.03%,69,0.23%,23,0.08%,6,0.02%,18,0.06%,141,0.48%,13,0.04%,29610,4
Franklin,409,30.75%,394,29.62%,137,10.30%,100,7.52%,226,16.99%,4,0.30%,5,0.38%,1,0.08%,4,0.30%,0,0.00%,2,0.15%,1,0.08%,6,0.45%,2,0.15%,22,1.65%,8,0.60%,4,0.30%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,0.30%,1,0.08%,1330,1
Freestone,425,16.33%,656,25.20%,1005,38.61%,183,7.03%,260,9.99%,15,0.58%,1,0.04%,6,0.23%,1,0.04%,2,0.08%,2,0.08%,0,0.00%,3,0.12%,0,0.00%,20,0.77%,6,0.23%,4,0.15%,8,0.31%,0,0.00%,1,0.04%,2,0.08%,1,0.04%,2,0.08%,0,0.00%,2603,3
Frio,322,21.71%,528,35.60%,96,6.47%,321,21.65%,43,2.90%,146,9.84%,1,0.07%,0,0.00%,3,0.20%,0,0.00%,1,0.07%,1,0.07%,9,0.61%,4,0.27%,3,0.20%,0,0.00%,3,0.20%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,0.13%,0,0.00%,0,0.00%,1483,2
Gaines,504,27.71%,324,17.81%,266,14.62%,448,24.63%,104,5.72%,42,2.31%,4,0.22%,3,0.16%,6,0.33%,2,0.11%,3,0.16%,5,0.27%,55,3.02%,6,0.33%,13,0.71%,12,0.66%,8,0.44%,3,0.16%,5,0.27%,0,0.00%,1,0.05%,1,0.05%,4,0.22%,0,0.00%,1819,1
Galveston,7862,29.14%,8107,30.04%,2007,7.44%,5208,19.30%,2244,8.32%,413,1.53%,24,0.09%,16,0.06%,59,0.22%,25,0.09%,41,0.15%,27,0.10%,103,0.38%,21,0.08%,366,1.36%,153,0.57%,61,0.23%,15,0.06%,17,0.06%,87,0.32%,61,0.23%,6,0.02%,51,0.19%,10,0.04%,26984,2
Garza,188,24.32%,149,19.28%,167,21.60%,177,22.90%,49,6.34%,13,1.68%,1,0.13%,1,0.13%,1,0.13%,1,0.13%,2,0.26%,1,0.13%,13,1.68%,1,0.13%,2,0.26%,5,0.65%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,0.26%,0,0.00%,0,0.00%,773,1
Gillespie,1706,44.50%,700,18.26%,303,7.90%,834,21.75%,207,5.40%,11,0.29%,3,0.08%,0,0.00%,14,0.37%,1,0.03%,2,0.05%,1,0.03%,9,0.23%,3,0.08%,8,0.21%,5,0.13%,2,0.05%,2,0.05%,3,0.08%,3,0.08%,0,0.00%,1,0.03%,11,0.29%,5,0.13%,3834,1
Glasscock,92,29.39%,57,18.21%,36,11.50%,117,37.38%,7,2.24%,2,0.64%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.32%,0,0.00%,0,0.00%,1,0.32%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,313,4
Goliad,297,32.67%,223,24.53%,65,7.15%,262,28.82%,29,3.19%,15,1.65%,2,0.22%,0,0.00%,0,0.00%,0,0.00%,1,0.11%,1,0.11%,3,0.33%,0,0.00%,4,0.44%,2,0.22%,0,0.00%,0,0.00%,0,0.00%,1,0.11%,0,0.00%,2,0.22%,1,0.11%,1,0.11%,909,1
Gonzales,746,32.97%,659,29.12%,168,7.42%,473,20.90%,114,5.04%,26,1.15%,4,0.18%,1,0.04%,3,0.13%,3,0.13%,1,0.04%,0,0.00%,11,0.49%,4,0.18%,10,0.44%,3,0.13%,3,0.13%,22,0.97%,1,0.04%,1,0.04%,3,0.13%,3,0.13%,1,0.04%,3,0.13%,2263,1
Gray,1345,36.49%,655,17.77%,611,16.58%,751,20.37%,149,4.04%,7,0.19%,6,0.16%,2,0.05%,7,0.19%,2,0.05%,2,0.05%,11,0.30%,63,1.71%,15,0.41%,7,0.19%,18,0.49%,4,0.11%,3,0.08%,13,0.35%,1,0.03%,2,0.05%,8,0.22%,4,0.11%,0,0.00%,3686,1
Grayson,4696,34.79%,3966,29.38%,2677,19.83%,609,4.51%,1064,7.88%,44,0.33%,13,0.10%,9,0.07%,32,0.24%,5,0.04%,12,0.09%,48,0.36%,49,0.36%,49,0.36%,58,0.43%,41,0.30%,55,0.41%,5,0.04%,15,0.11%,16,0.12%,5,0.04%,5,0.04%,19,0.14%,5,0.04%,13497,1
Gregg,5995,43.19%,3073,22.14%,2437,17.56%,1032,7.44%,933,6.72%,51,0.37%,10,0.07%,0,0.00%,20,0.14%,11,0.08%,18,0.13%,18,0.13%,86,0.62%,28,0.20%,59,0.43%,12,0.09%,37,0.27%,11,0.08%,10,0.07%,6,0.04%,11,0.08%,7,0.05%,13,0.09%,1,0.01%,13879,1
Grimes,337,16.19%,613,29.44%,410,19.69%,533,25.60%,140,6.72%,18,0.86%,0,0.00%,1,0.05%,1,0.05%,2,0.10%,0,0.00%,4,0.19%,4,0.19%,0,0.00%,5,0.24%,3,0.14%,4,0.19%,2,0.10%,0,0.00%,0,0.00%,0,0.00%,1,0.05%,2,0.10%,2,0.10%,2082,2
Guadalupe,2465,30.07%,2179,26.58%,1250,15.25%,1535,18.73%,442,5.39%,79,0.96%,4,0.05%,5,0.06%,44,0.54%,4,0.05%,6,0.07%,14,0.17%,86,1.05%,13,0.16%,11,0.13%,13,0.16%,20,0.24%,5,0.06%,3,0.04%,3,0.04%,2,0.02%,0,0.00%,7,0.09%,7,0.09%,8197,1
Hale,1412,37.34%,647,17.11%,830,21.95%,513,13.57%,136,3.60%,99,2.62%,2,0.05%,4,0.11%,2,0.05%,4,0.11%,1,0.03%,4,0.11%,67,1.77%,5,0.13%,33,0.87%,3,0.08%,4,0.11%,4,0.11%,2,0.05%,6,0.16%,0,0.00%,1,0.03%,1,0.03%,1,0.03%,3781,1
Hall,203,29.34%,236,34.10%,39,5.64%,134,19.36%,43,6.21%,14,2.02%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.14%,8,1.16%,1,0.14%,9,1.30%,1,0.14%,0,0.00%,0,0.00%,1,0.14%,0,0.00%,1,0.14%,0,0.00%,1,0.14%,0,0.00%,692,2
Hamilton,361,25.66%,473,33.62%,271,19.26%,128,9.10%,152,10.80%,1,0.07%,2,0.14%,2,0.14%,2,0.14%,0,0.00%,2,0.14%,1,0.07%,1,0.07%,0,0.00%,1,0.07%,2,0.14%,4,0.28%,1,0.07%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,0.14%,1,0.07%,1407,2
Hansford,426,37.37%,124,10.88%,212,18.60%,292,25.61%,50,4.39%,0,0.00%,3,0.26%,0,0.00%,0,0.00%,1,0.09%,0,0.00%,0,0.00%,11,0.96%,4,0.35%,5,0.44%,4,0.35%,2,0.18%,4,0.35%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,0.18%,0,0.00%,1140,1
Hardeman,207,22.62%,426,46.56%,43,4.70%,49,5.36%,147,16.07%,2,0.22%,1,0.11%,0,0.00%,2,0.22%,0,0.00%,0,0.00%,1,0.11%,9,0.98%,1,0.11%,14,1.53%,7,0.77%,1,0.11%,0,0.00%,1,0.11%,0,0.00%,0,0.00%,2,0.22%,2,0.22%,0,0.00%,915,2
Hardin,1507,32.15%,1655,35.30%,450,9.60%,255,5.44%,490,10.45%,24,0.51%,6,0.13%,4,0.09%,15,0.32%,2,0.04%,12,0.26%,8,0.17%,30,0.64%,18,0.38%,21,0.45%,77,1.64%,34,0.73%,22,0.47%,5,0.11%,2,0.04%,4,0.09%,33,0.70%,6,0.13%,8,0.17%,4688,2
Harris,74077,25.44%,69834,23.98%,24232,8.32%,86336,29.64%,20973,7.20%,6522,2.24%,190,0.07%,82,0.03%,705,0.24%,193,0.07%,145,0.05%,188,0.06%,1143,0.39%,200,0.07%,838,0.29%,1203,0.41%,1268,0.44%,158,0.05%,105,0.04%,123,0.04%,43,0.01%,562,0.19%,1924,0.66%,196,0.07%,291240,4
Harrison,2218,35.10%,1464,23.17%,650,10.29%,577,9.13%,1105,17.49%,24,0.38%,11,0.17%,3,0.05%,11,0.17%,3,0.05%,2,0.03%,6,0.09%,95,1.50%,33,0.52%,45,0.71%,12,0.19%,16,0.25%,11,0.17%,6,0.09%,10,0.16%,6,0.09%,5,0.08%,4,0.06%,2,0.03%,6319,1
Hartley,293,31.57%,247,26.62%,132,14.22%,186,20.04%,33,3.56%,4,0.43%,0,0.00%,1,0.11%,1,0.11%,0,0.00%,2,0.22%,0,0.00%,5,0.54%,6,0.65%,8,0.86%,2,0.22%,1,0.11%,0,0.00%,1,0.11%,0,0.00%,0,0.00%,0,0.00%,6,0.65%,0,0.00%,928,1
Haskell,361,23.66%,599,39.25%,87,5.70%,224,14.68%,165,10.81%,24,1.57%,3,0.20%,11,0.72%,0,0.00%,0,0.00%,0,0.00%,1,0.07%,2,0.13%,0,0.00%,6,0.39%,7,0.46%,34,2.23%,0,0.00%,0,0.00%,1,0.07%,0,0.00%,0,0.00%,1,0.07%,0,0.00%,1526,2
Hays,2441,30.95%,2579,32.70%,844,10.70%,857,10.87%,500,6.34%,234,2.97%,10,0.13%,2,0.03%,43,0.55%,22,0.28%,11,0.14%,25,0.32%,46,0.58%,60,0.76%,28,0.36%,98,1.24%,32,0.41%,12,0.15%,2,0.03%,8,0.10%,4,0.05%,10,0.13%,10,0.13%,8,0.10%,7886,2
Hemphill,318,35.33%,173,19.22%,91,10.11%,245,27.22%,26,2.89%,8,0.89%,1,0.11%,1,0.11%,0,0.00%,0,0.00%,0,0.00%,1,0.11%,15,1.67%,3,0.33%,4,0.44%,4,0.44%,2,0.22%,5,0.56%,1,0.11%,0,0.00%,1,0.11%,0,0.00%,0,0.00%,1,0.11%,900,1
Henderson,2933,32.21%,2887,31.70%,1256,13.79%,659,7.24%,1085,11.91%,44,0.48%,4,0.04%,4,0.04%,7,0.08%,3,0.03%,6,0.07%,13,0.14%,94,1.03%,10,0.11%,27,0.30%,20,0.22%,17,0.19%,10,0.11%,1,0.01%,4,0.04%,6,0.07%,4,0.04%,6,0.07%,7,0.08%,9107,1
Hidalgo,8129,23.04%,17667,50.07%,949,2.69%,515,1.46%,2572,7.29%,2954,8.37%,51,0.14%,26,0.07%,66,0.19%,185,0.52%,83,0.24%,77,0.22%,559,1.58%,117,0.33%,240,0.68%,49,0.14%,134,0.38%,33,0.09%,59,0.17%,127,0.36%,130,0.37%,40,0.11%,48,0.14%,472,1.34%,35282,2
Hill,702,16.26%,1593,36.90%,1182,27.38%,277,6.42%,469,10.86%,17,0.39%,5,0.12%,2,0.05%,4,0.09%,0,0.00%,4,0.09%,4,0.09%,17,0.39%,1,0.02%,3,0.07%,6,0.14%,2,0.05%,16,0.37%,1,0.02%,10,0.23%,0,0.00%,0,0.00%,1,0.02%,1,0.02%,4317,2
Hockley,637,25.76%,607,24.55%,505,20.42%,457,18.48%,104,4.21%,25,1.01%,1,0.04%,8,0.32%,1,0.04%,2,0.08%,7,0.28%,3,0.12%,53,2.14%,23,0.93%,6,0.24%,5,0.20%,8,0.32%,7,0.28%,8,0.32%,0,0.00%,0,0.00%,0,0.00%,2,0.08%,4,0.16%,2473,1
Hood,1362,26.23%,1463,28.18%,1486,28.62%,168,3.24%,586,11.29%,25,0.48%,5,0.10%,1,0.02%,6,0.12%,1,0.02%,2,0.04%,3,0.06%,6,0.12%,5,0.10%,27,0.52%,0,0.00%,10,0.19%,7,0.13%,2,0.04%,1,0.02%,2,0.04%,16,0.31%,2,0.04%,6,0.12%,5192,3
Hopkins,1194,31.96%,1261,33.75%,478,12.79%,208,5.57%,483,12.93%,10,0.27%,5,0.13%,1,0.03%,8,0.21%,2,0.05%,2,0.05%,8,0.21%,18,0.48%,11,0.29%,17,0.46%,7,0.19%,10,0.27%,3,0.08%,1,0.03%,0,0.00%,1,0.03%,2,0.05%,1,0.03%,5,0.13%,3736,2
Houston,556,15.12%,1279,34.78%,1182,32.15%,410,11.15%,179,4.87%,15,0.41%,2,0.05%,0,0.00%,2,0.05%,1,0.03%,3,0.08%,4,0.11%,8,0.22%,2,0.05%,9,0.24%,7,0.19%,3,0.08%,0,0.00%,1,0.03%,7,0.19%,3,0.08%,0,0.00%,2,0.05%,2,0.05%,3677,2
Howard,989,29.30%,901,26.69%,473,14.01%,556,16.47%,250,7.41%,65,1.93%,4,0.12%,1,0.03%,3,0.09%,5,0.15%,1,0.03%,6,0.18%,46,1.36%,11,0.33%,10,0.30%,6,0.18%,27,0.80%,6,0.18%,3,0.09%,4,0.12%,2,0.06%,5,0.15%,1,0.03%,1,0.03%,3376,1
Hudspeth,66,20.50%,76,23.60%,17,5.28%,59,18.32%,23,7.14%,46,14.29%,1,0.31%,1,0.31%,2,0.62%,0,0.00%,2,0.62%,0,0.00%,8,2.48%,2,0.62%,2,0.62%,2,0.62%,3,0.93%,7,2.17%,2,0.62%,1,0.31%,0,0.00%,1,0.31%,1,0.31%,0,0.00%,322,2
Hunt,2625,29.64%,2495,28.17%,2115,23.88%,383,4.32%,824,9.30%,56,0.63%,9,0.10%,9,0.10%,23,0.26%,11,0.12%,10,0.11%,16,0.18%,53,0.60%,16,0.18%,74,0.84%,22,0.25%,27,0.30%,14,0.16%,13,0.15%,7,0.08%,12,0.14%,20,0.23%,4,0.05%,19,0.21%,8857,1
Hutchinson,1402,34.27%,740,18.09%,737,18.02%,832,20.34%,212,5.18%,17,0.42%,2,0.05%,3,0.07%,5,0.12%,2,0.05%,1,0.02%,3,0.07%,63,1.54%,10,0.24%,14,0.34%,9,0.22%,11,0.27%,1,0.02%,5,0.12%,4,0.10%,0,0.00%,3,0.07%,14,0.34%,1,0.02%,4091,1
Irion,113,28.04%,124,30.77%,8,1.99%,81,20.10%,53,13.15%,9,2.23%,3,0.74%,1,0.25%,1,0.25%,0,0.00%,0,0.00%,1,0.25%,5,1.24%,0,0.00%,1,0.25%,2,0.50%,0,0.00%,0,0.00%,1,0.25%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,403,2
Jack,357,28.77%,427,34.41%,167,13.46%,64,5.16%,175,14.10%,15,1.21%,4,0.32%,0,0.00%,4,0.32%,0,0.00%,0,0.00%,3,0.24%,2,0.16%,3,0.24%,3,0.24%,1,0.08%,11,0.89%,0,0.00%,2,0.16%,0,0.00%,0,0.00%,1,0.08%,2,0.16%,0,0.00%,1241,2
Jackson,769,31.21%,736,29.87%,154,6.25%,506,20.54%,146,5.93%,63,2.56%,0,0.00%,1,0.04%,1,0.04%,4,0.16%,3,0.12%,1,0.04%,13,0.53%,7,0.28%,28,1.14%,10,0.41%,6,0.24%,2,0.08%,4,0.16%,5,0.20%,3,0.12%,0,0.00%,1,0.04%,1,0.04%,2464,1
Jasper,957,29.04%,1343,40.75%,217,6.58%,284,8.62%,339,10.29%,11,0.33%,7,0.21%,7,0.21%,2,0.06%,0,0.00%,2,0.06%,3,0.09%,5,0.15%,6,0.18%,60,1.82%,7,0.21%,17,0.52%,13,0.39%,1,0.03%,2,0.06%,0,0.00%,1,0.03%,11,0.33%,1,0.03%,3296,2
Jeff Davis,111,27.89%,96,24.12%,48,12.06%,41,10.30%,26,6.53%,20,5.03%,1,0.25%,2,0.50%,3,0.75%,1,0.25%,0,0.00%,2,0.50%,7,1.76%,4,1.01%,5,1.26%,10,2.51%,1,0.25%,6,1.51%,7,1.76%,1,0.25%,0,0.00%,1,0.25%,2,0.50%,3,0.75%,398,1
Jefferson,7350,30.95%,10728,45.18%,1704,7.18%,1243,5.23%,1607,6.77%,142,0.60%,22,0.09%,74,0.31%,72,0.30%,18,0.08%,22,0.09%,30,0.13%,115,0.48%,28,0.12%,82,0.35%,69,0.29%,48,0.20%,196,0.83%,25,0.11%,42,0.18%,58,0.24%,13,0.05%,36,0.15%,21,0.09%,23745,2
Jim Hogg,74,8.69%,477,55.99%,24,2.82%,30,3.52%,12,1.41%,194,22.77%,1,0.12%,1,0.12%,0,0.00%,2,0.23%,3,0.35%,2,0.23%,2,0.23%,3,0.35%,18,2.11%,2,0.23%,0,0.00%,1,0.12%,3,0.35%,0,0.00%,1,0.12%,0,0.00%,2,0.23%,0,0.00%,852,2
Jim Wells,973,21.28%,2368,51.79%,225,4.92%,293,6.41%,167,3.65%,374,8.18%,13,0.28%,23,0.50%,9,0.20%,6,0.13%,5,0.11%,9,0.20%,12,0.26%,11,0.24%,30,0.66%,15,0.33%,6,0.13%,10,0.22%,3,0.07%,3,0.07%,8,0.17%,1,0.02%,2,0.04%,6,0.13%,4572,2
Johnson,1990,20.10%,2624,26.51%,3649,36.86%,322,3.25%,1052,10.63%,97,0.98%,9,0.09%,5,0.05%,32,0.32%,2,0.02%,4,0.04%,4,0.04%,41,0.41%,13,0.13%,17,0.17%,8,0.08%,15,0.15%,5,0.05%,2,0.02%,0,0.00%,2,0.02%,0,0.00%,5,0.05%,2,0.02%,9900,3
Jones,698,30.68%,698,30.68%,83,3.65%,439,19.30%,284,12.48%,15,0.66%,0,0.00%,0,0.00%,2,0.09%,2,0.09%,3,0.13%,2,0.09%,0,0.00%,2,0.09%,20,0.88%,7,0.31%,2,0.09%,2,0.09%,3,0.13%,3,0.13%,1,0.04%,6,0.26%,1,0.04%,2,0.09%,2275,0
Karnes,456,24.40%,559,29.91%,169,9.04%,524,28.04%,79,4.23%,41,2.19%,2,0.11%,2,0.11%,2,0.11%,0,0.00%,1,0.05%,7,0.37%,8,0.43%,1,0.05%,6,0.32%,4,0.21%,0,0.00%,0,0.00%,1,0.05%,0,0.00%,1,0.05%,2,0.11%,1,0.05%,3,0.16%,1869,2
Kaufman,1519,28.75%,1516,28.69%,1131,21.40%,435,8.23%,464,8.78%,41,0.78%,14,0.26%,0,0.00%,9,0.17%,1,0.02%,4,0.08%,23,0.44%,31,0.59%,5,0.09%,12,0.23%,26,0.49%,24,0.45%,0,0.00%,6,0.11%,4,0.08%,1,0.02%,4,0.08%,11,0.21%,3,0.06%,5284,1
Kendall,1081,35.34%,518,16.93%,365,11.93%,864,28.24%,143,4.67%,10,0.33%,4,0.13%,2,0.07%,14,0.46%,1,0.03%,1,0.03%,2,0.07%,29,0.95%,3,0.10%,1,0.03%,2,0.07%,8,0.26%,1,0.03%,0,0.00%,2,0.07%,1,0.03%,0,0.00%,5,0.16%,2,0.07%,3059,1
Kenedy,29,40.85%,27,38.03%,0,0.00%,4,5.63%,6,8.45%,3,4.23%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,2.82%,0,0.00%,0,0.00%,71,1
Kent,104,25.55%,117,28.75%,38,9.34%,65,15.97%,40,9.83%,8,1.97%,2,0.49%,0,0.00%,1,0.25%,0,0.00%,0,0.00%,2,0.49%,5,1.23%,2,0.49%,13,3.19%,1,0.25%,4,0.98%,1,0.25%,1,0.25%,2,0.49%,1,0.25%,0,0.00%,0,0.00%,0,0.00%,407,2
Kerr,2843,44.08%,1185,18.37%,733,11.37%,1167,18.10%,365,5.66%,33,0.51%,2,0.03%,3,0.05%,16,0.25%,2,0.03%,6,0.09%,7,0.11%,29,0.45%,1,0.02%,7,0.11%,7,0.11%,15,0.23%,1,0.02%,7,0.11%,7,0.11%,3,0.05%,3,0.05%,3,0.05%,4,0.06%,6449,1
Kimble,321,31.94%,322,32.04%,88,8.76%,157,15.62%,67,6.67%,16,1.59%,0,0.00%,2,0.20%,1,0.10%,0,0.00%,1,0.10%,2,0.20%,3,0.30%,9,0.90%,8,0.80%,2,0.20%,3,0.30%,0,0.00%,0,0.00%,0,0.00%,1,0.10%,0,0.00%,0,0.00%,2,0.20%,1005,2
King,33,29.20%,33,29.20%,14,12.39%,12,10.62%,8,7.08%,1,0.88%,0,0.00%,0,0.00%,1,0.88%,0,0.00%,0,0.00%,2,1.77%,2,1.77%,2,1.77%,2,1.77%,1,0.88%,2,1.77%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,113,0
Kinney,121,24.35%,132,26.56%,46,9.26%,143,28.77%,31,6.24%,8,1.61%,0,0.00%,6,1.21%,1,0.20%,0,0.00%,1,0.20%,0,0.00%,3,0.60%,2,0.40%,1,0.20%,0,0.00%,0,0.00%,0,0.00%,1,0.20%,1,0.20%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,497,4
Kleberg,1028,26.67%,1878,48.73%,73,1.89%,234,6.07%,202,5.24%,274,7.11%,14,0.36%,14,0.36%,6,0.16%,1,0.03%,43,1.12%,14,0.36%,25,0.65%,7,0.18%,8,0.21%,5,0.13%,6,0.16%,4,0.10%,7,0.18%,1,0.03%,1,0.03%,1,0.03%,8,0.21%,0,0.00%,3854,2
Knox,211,27.33%,335,43.39%,22,2.85%,99,12.82%,74,9.59%,3,0.39%,1,0.13%,2,0.26%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.13%,3,0.39%,5,0.65%,4,0.52%,1,0.13%,9,1.17%,1,0.13%,1,0.13%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,772,2
Lamar,1878,31.90%,1888,32.07%,1229,20.88%,269,4.57%,478,8.12%,26,0.44%,12,0.20%,1,0.02%,3,0.05%,1,0.02%,4,0.07%,11,0.19%,14,0.24%,4,0.07%,31,0.53%,13,0.22%,0,0.00%,2,0.03%,4,0.07%,2,0.03%,0,0.00%,7,0.12%,4,0.07%,6,0.10%,5887,2
Lamb,582,25.12%,498,21.49%,537,23.18%,425,18.34%,133,5.74%,49,2.11%,1,0.04%,4,0.17%,4,0.17%,0,0.00%,2,0.09%,1,0.04%,21,0.91%,2,0.09%,23,0.99%,6,0.26%,12,0.52%,7,0.30%,1,0.04%,1,0.04%,0,0.00%,0,0.00%,7,0.30%,1,0.04%,2317,1
Lampasas,528,26.18%,557,27.62%,365,18.10%,290,14.38%,226,11.20%,19,0.94%,1,0.05%,0,0.00%,9,0.45%,0,0.00%,0,0.00%,1,0.05%,3,0.15%,1,0.05%,2,0.10%,1,0.05%,3,0.15%,7,0.35%,1,0.05%,1,0.05%,2,0.10%,0,0.00%,0,0.00%,0,0.00%,2017,2
La Salle,121,14.15%,435,50.88%,48,5.61%,161,18.83%,27,3.16%,42,4.91%,2,0.23%,0,0.00%,0,0.00%,2,0.23%,0,0.00%,0,0.00%,1,0.12%,1,0.12%,7,0.82%,0,0.00%,2,0.23%,2,0.23%,1,0.12%,1,0.12%,0,0.00%,0,0.00%,0,0.00%,2,0.23%,855,2
Lavaca,927,30.18%,1068,34.77%,281,9.15%,561,18.26%,160,5.21%,9,0.29%,5,0.16%,0,0.00%,3,0.10%,0,0.00%,8,0.26%,2,0.07%,15,0.49%,0,0.00%,11,0.36%,3,0.10%,7,0.23%,0,0.00%,1,0.03%,3,0.10%,2,0.07%,2,0.07%,1,0.03%,3,0.10%,3072,2
Lee,415,29.04%,489,34.22%,87,6.09%,269,18.82%,121,8.47%,9,0.63%,1,0.07%,1,0.07%,4,0.28%,0,0.00%,0,0.00%,1,0.07%,9,0.63%,1,0.07%,6,0.42%,3,0.21%,5,0.35%,1,0.07%,2,0.14%,2,0.14%,3,0.21%,0,0.00%,0,0.00%,0,0.00%,1429,2
Leon,454,16.08%,681,24.12%,977,34.61%,407,14.42%,221,7.83%,25,0.89%,5,0.18%,1,0.04%,5,0.18%,2,0.07%,4,0.14%,1,0.04%,5,0.18%,0,0.00%,8,0.28%,8,0.28%,2,0.07%,4,0.14%,1,0.04%,0,0.00%,1,0.04%,1,0.04%,9,0.32%,1,0.04%,2823,3
Liberty,1172,15.84%,2174,29.38%,817,11.04%,2107,28.48%,790,10.68%,59,0.80%,22,0.30%,5,0.07%,10,0.14%,5,0.07%,15,0.20%,21,0.28%,51,0.69%,6,0.08%,45,0.61%,41,0.55%,14,0.19%,3,0.04%,7,0.09%,5,0.07%,4,0.05%,1,0.01%,19,0.26%,6,0.08%,7399,2
Limestone,394,11.54%,1162,34.04%,1194,34.97%,301,8.82%,273,8.00%,28,0.82%,3,0.09%,3,0.09%,2,0.06%,1,0.03%,3,0.09%,1,0.03%,2,0.06%,0,0.00%,24,0.70%,1,0.03%,7,0.21%,8,0.23%,0,0.00%,0,0.00%,1,0.03%,0,0.00%,3,0.09%,3,0.09%,3414,3
Lipscomb,294,36.48%,167,20.72%,96,11.91%,153,18.98%,50,6.20%,2,0.25%,2,0.25%,0,0.00%,0,0.00%,0,0.00%,7,0.87%,3,0.37%,9,1.12%,4,0.50%,4,0.50%,2,0.25%,9,1.12%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.12%,2,0.25%,1,0.12%,806,1
Live Oak,529,36.61%,344,23.81%,132,9.13%,283,19.58%,100,6.92%,28,1.94%,2,0.14%,1,0.07%,2,0.14%,0,0.00%,0,0.00%,2,0.14%,8,0.55%,0,0.00%,4,0.28%,1,0.07%,2,0.14%,1,0.07%,1,0.07%,0,0.00%,2,0.14%,0,0.00%,0,0.00%,3,0.21%,1445,1
