County,Goen,%,Connally,%,Starr,%,Keel,%,Total,Winner
Wilbarger,16,1.11%,1428,98.69%,3,0.21%,0,0.00%,1447,2
Willacy,75,11.19%,595,88.81%,0,0.00%,0,0.00%,670,2
Williamson,27,0.85%,3154,99.06%,1,0.03%,2,0.06%,3184,2
Wilson,23,1.65%,1368,98.28%,1,0.07%,0,0.00%,1392,2
Winkler,14,3.20%,423,96.58%,1,0.23%,0,0.00%,438,2
Wise,44,2.96%,1440,96.90%,2,0.13%,0,0.00%,1486,2
Wood,45,2.45%,1779,97.05%,9,0.49%,0,0.00%,1833,2
Yoakum,0,0.00%,146,99.32%,1,0.68%,0,0.00%,147,2
Young,21,1.39%,1482,98.41%,3,0.20%,0,0.00%,1506,2
Zapata,4,0.97%,408,99.03%,0,0.00%,0,0.00%,412,2
Zavala,6,1.07%,555,98.75%,1,0.18%,0,0.00%,562,2
Total,12856,2.84%,437254,96.68%,1837,0.41%,309,0.07%,452256,
