County,Kennerly,%,Connally,%,Rust,%,Curran,%,Total,Winner
Wichita,2980,24.81%,9023,75.13%,0,0.00%,7,0.06%,12010,2
Wilbarger,419,14.01%,2570,85.95%,0,0.00%,1,0.03%,2990,2
Willacy,139,18.31%,620,81.69%,0,0.00%,0,0.00%,759,2
Williamson,465,8.43%,5047,91.45%,2,0.04%,5,0.09%,5519,2
Wilson,318,14.82%,1828,85.18%,0,0.00%,0,0.00%,2146,2
Winkler,47,10.20%,414,89.80%,0,0.00%,0,0.00%,461,2
Wise,949,29.68%,2246,70.25%,0,0.00%,2,0.06%,3197,2
Wood,433,16.96%,2120,83.04%,0,0.00%,0,0.00%,2553,2
Yoakum,20,13.42%,129,86.58%,0,0.00%,0,0.00%,149,2
Young,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Zapata,15,4.76%,300,95.24%,0,0.00%,0,0.00%,315,2
Zavala,265,33.21%,532,66.67%,0,0.00%,1,0.13%,798,2
Total,129874,18.64%,566138,81.25%,114,0.02%,690,0.10%,696816,
