Party,>90,80-90,70-80,60-70,50-60,40-50,30-40,20-30
FourthPlace,280F0F,4F1E1E,772E2D,9E3D3C,C64C4B,CC5E5D,D78281,E3A6A5
RunnerUp,165016,217821,2CA02C,37C837,5FD35F,87DE87,AAE5AA,C0F0C0
ThirdPlace,A08000,BE9600,DAAE00,F4C200,FFDC43,FFE680,FFEEAA,FFF6D2
Democratic,0D0596,3933E5,584CDE,6674DE,7996E2,A5B0FF,BDD3FF,DFEEFF
