Party,>90,80-90,70-80,60-70,50-60,40-50,30-40,20-30
Democratic,0D0596,3933E5,584CDE,6674DE,7996E2,A5B0FF,BDD3FF,DFEEFF
FifthDem,622E1B,973714,CD3700,F8581E,FF7644,FF8E65,FFAC8E,FFD3C3
FourthDem,000000,000000,000000,000000,000000,FF55DD,FF80E5,FFAAEE
Republican,A80000,C21B18,D72F30,D75D5D,E27F7F,FFB2B2,FFC8CD,FFE0EA
ThirdDem,A08000,BE9600,DAAE00,F4C200,FFDC43,FFE680,FFEEAA,FFF6D2
SecondDem,165016,217821,2CA02C,37C837,5FD35F,87DE87,AAE5AA,C0F0C0
