Party,>90,80-90,70-80,60-70,50-60,40-50,30-40
Republican,800000,AA0000,D40000,CC2F4A,E27F90,F2B3BE,FFCCD0
Democratic,002B84,0645B4,1666CB,4389E3,86B6F2,B9D7FF,D3E7FF
